Data;Zamkniecie
02.12.2004;7.9959
03.12.2004;7.8682
06.12.2004;7.7151
07.12.2004;7.5535
08.12.2004;7.5111
09.12.2004;7.5535
10.12.2004;7.5111
13.12.2004;7.3068
14.12.2004;7.4686
15.12.2004;7.3918
16.12.2004;7.6302
17.12.2004;7.6302
20.12.2004;7.5111
21.12.2004;7.5111
22.12.2004;7.4686
23.12.2004;7.5111
24.12.2004;7.5876
27.12.2004;7.6725
28.12.2004;7.6302
29.12.2004;7.6302
30.12.2004;7.6725
31.12.2004;7.6725
03.01.2005;7.6725
04.01.2005;7.6302
05.01.2005;7.3918
06.01.2005;7.3918
07.01.2005;7.3918
10.01.2005;7.3493
11.01.2005;7.2303
12.01.2005;7.2728
13.01.2005;7.3493
14.01.2005;7.3918
17.01.2005;7.3918
18.01.2005;7.4346
19.01.2005;7.4346
20.01.2005;7.4686
21.01.2005;7.1452
24.01.2005;7.2303
25.01.2005;7.1878
26.01.2005;7.3068
27.01.2005;7.3068
28.01.2005;7.3918
31.01.2005;7.3918
01.02.2005;7.5535
02.02.2005;7.5535
03.02.2005;7.5535
04.02.2005;7.5535
07.02.2005;7.6302
08.02.2005;7.6302
09.02.2005;7.6302
10.02.2005;7.6302
11.02.2005;7.7151
14.02.2005;7.6302
15.02.2005;7.5876
16.02.2005;7.6725
17.02.2005;7.7491
18.02.2005;7.7491
21.02.2005;7.6302
22.02.2005;7.8682
23.02.2005;8.3532
24.02.2005;8.3532
25.02.2005;8.8379
28.02.2005;8.6763
01.03.2005;8.8379
02.03.2005;8.6763
03.03.2005;8.7954
04.03.2005;8.5912
07.03.2005;8.8379
08.03.2005;8.7954
09.03.2005;8.753
10.03.2005;8.753
11.03.2005;8.6763
14.03.2005;8.5571
15.03.2005;8.5912
16.03.2005;8.5912
17.03.2005;8.4383
18.03.2005;8.7954
21.03.2005;9.119
22.03.2005;9.4422
23.03.2005;10.082
24.03.2005;9.883
29.03.2005;9.961
30.03.2005;9.842
31.03.2005;10.121
01.04.2005;10.445
04.04.2005;10.846
05.04.2005;10.802
06.04.2005;10.565
07.04.2005;11.245
11.04.2005;11.484
12.04.2005;11.245
13.04.2005;11.406
14.04.2005;11.041
15.04.2005;11.083
